lat,long,elevation
-85,-180,2421.6
-85,-175,1581.2
-85,-170,1317.1
-85,-165,99.8
-85,-160,102
-85,-155,102
-85,-150,105.9
-85,-145,199.6
-85,-140,350.5
-85,-135,599.5
-85,-130,914.4
-85,-125,1191.7
-85,-120,1786
-85,-115,1992.1
-85,-110,2081.1
-85,-105,2193.2
-85,-100,2266.6
-85,-95,2259.7
-85,-90,2002.9
-85,-85,1586.4
-85,-80,1250
-85,-75,1196.5
-85,-70,1270.7
-85,-65,1575.8
-85,-60,1304.5
-85,-55,1464.6
-85,-50,1546.2
-85,-45,1641.6
-85,-40,1768.1
-85,-35,1928.1
-85,-30,2050
-85,-25,2142.2
-85,-20,2269.2
-85,-15,2371.3
-85,-10,2446.4
-85,-5,2521.7
-85,0,2565.8
-85,5,2604.2
-85,10,2632
-85,15,2655.1
-85,20,2682.3
-85,25,2736.8
-85,30,2855
-85,35,3002.1
-85,40,3163.3
-85,45,3293
-85,50,3347.2
-85,55,3371
-85,60,3402.5
-85,65,3427.4
-85,70,3441.5
-85,75,3436.7
-85,80,3396.5
-85,85,3358
-85,90,3322.4
-85,95,3279.1
-85,100,3231.3
-85,105,3176
-85,110,3114
-85,115,3056
-85,120,2992.5
-85,125,2940
-85,130,2870
-85,135,2809.5
-85,140,2777.8
-85,145,2717
-85,150,2690.5
-85,155,2608.9
-85,160,2419.5
-85,165,1766.8
-85,170,2033.7
-85,175,2973.3
-80,-180,49
-80,-175,54
-80,-170,58
-80,-165,66
-80,-160,73.1
-80,-155,75
-80,-150,97.5
-80,-145,198.3
-80,-140,393
-80,-135,633.9
-80,-130,1135.3
-80,-125,1362.9
-80,-120,1521.3
-80,-115,1701
-80,-110,1814.5
-80,-105,2016
-80,-100,2077
-80,-95,2121.4
-80,-90,2047.4
-80,-85,1382.1
-80,-80,243.2
-80,-75,125
-80,-70,120
-80,-65,82
-80,-60,87.2
-80,-55,90
-80,-50,419.4
-80,-45,624
-80,-40,101
-80,-35,111
-80,-30,157
-80,-25,499
-80,-20,985.5
-80,-15,1479
-80,-10,1846.1
-80,-5,2154.4
-80,0,2339.5
-80,5,2581.7
-80,10,2798.9
-80,15,2955.5
-80,20,3102.5
-80,25,3252
-80,30,3371.5
-80,35,3491
-80,40,3607.3
-80,45,3712.9
-80,50,3730.3
-80,55,3701.4
-80,60,3702.5
-80,65,3776.9
-80,70,3860.7
-80,75,3945.2
-80,80,4010
-80,85,3884.8
-80,90,3800
-80,95,3714.8
-80,100,3616
-80,105,3457.9
-80,110,3334.5
-80,115,3216.6
-80,120,3068
-80,125,2908
-80,130,2789.2
-80,135,2547.9
-80,140,2381
-80,145,2257.3
-80,150,1991.9
-80,155,1957.8
-80,160,660.4
-80,165,61
-80,170,52
-80,175,52
-75,-175,-1952
-75,-170,-2708.5
-75,-165,-3403.8
-75,-160,-3539.5
-75,-155,-3731
-75,-150,-3791.5
-75,-145,-813.9
-75,-140,-132
-75,-135,808.5
-75,-130,611.9
-75,-125,814.8
-75,-120,938.4
-75,-115,588.1
-75,-110,63.2
-75,-105,15.4
-75,-100,51.3
-75,-95,757.5
-75,-90,1009
-75,-85,1176
-75,-80,949.7
-75,-75,811.3
-75,-70,1454.1
-75,-65,1263.4
-75,-60,-639.3
-75,-55,-532.5
-75,-50,-460.3
-75,-45,-397
